KT3D ESTIMATES WITH:  DataSet					                                              
 2   25   30    1  .10000000      .10000000      .00000000      10.0000      10.0000      1.00000       1
Estimate
EstimationVariance
 2.3241160      6.6266850    
 3.4178930      7.1779550    
 4.5819150      1.6367960    
 6.1326130      1.4350780    
 4.5451290      2.7558540    
 3.5096320      1.4294970    
 7.1526680      1.9881700    
 4.5591090      1.7644420    
 1.0283960      1.6459740    
 5.5671510      1.3571950    
 8.2968200      1.7208470    
 4.0449060      1.1722830    
 2.4006770      3.7406060    
 2.7781500      6.3950630    
 2.4471580      1.8398750    
 3.3022720      6.4901680    
 5.2387970      1.4655570    
 4.0957060      6.1684810    
 4.3648760      2.7963060    
 3.0369830      6.5187740    
 3.2855410      1.4181510    
 6.7792800      2.3365870    
 7.7456460      1.6233010    
 2.7277150      2.6852480    
 .49367920      1.7699150    
 2.1126480      6.6496490    
 3.4991970      7.2756480    
 5.2312180      5.4104940    
 5.9434010      1.4991320    
 5.5392910      1.9387750    
 5.0159990      1.3854140    
 5.1306010      1.7377530    
 3.5156910      1.7174540    
 3.3900300      5.0327600    
 3.3867620      1.9955170    
 7.3449780      1.4739910    
 5.5974500      1.4195960    
 3.3785220      5.3937270    
 2.4793330      6.2214940    
 1.5758310      5.5250100    
 2.8926420      6.3308720    
 4.3138920      5.4818570    
 4.1760810      6.1911480    
 4.1874730      5.5766200    
 3.6409600      6.3560510    
 3.9841270      4.8797040    
 6.8418070      2.3124900    
 7.1331280      1.4335410    
 4.7237990      1.5204230    
 2.3755810      5.3766880    
 1.8953940      6.4948030    
 3.4133530      7.3754350    
 5.7876080      .58560240    
 4.8556750      5.6745830    
 4.8232690      .58436390    
 4.4463850      5.6946230    
 4.3782710      1.6337690    
 3.0006550      5.3142380    
 3.6856080      2.4386120    
 8.9636290      1.9372180    
 8.0443040      1.7912180    
 6.4710980      2.1041250    
 2.9417980      1.4098120    
 2.1833400      5.1153750    
 .24658940      1.6209060    
 2.7129900      6.3582450    
 4.5611470      1.4667580    
 3.7529990      6.4297740    
 4.3911110      1.6421610    
 3.5487840      6.1703460    
 3.5453310      2.6134560    
 4.2621350      5.4413920    
 3.5534220      1.1578780    
 3.3743010      5.7496800    
 3.4923060      1.8427020    
 1.6136780      6.1629360    
 3.2894210      7.3252260    
 3.6536680      5.2218010    
 3.3899640      6.2898590    
 3.0563900      5.3885390    
 3.4115110      6.2490610    
 2.8632810      5.1228850    
 1.4838430      1.9583840    
 .79145360      1.1636550    
 5.1848870      1.2946320    
 8.9639630      .57417790    
 4.5435280      1.9347340    
 6.8917400      2.1760000    
 1.4330180      2.7798860    
 1.5220150      4.9324240    
 2.5511260      6.4591370    
 2.6680870      5.5111060    
 2.9649580      6.4333480    
 3.4405340      5.7226450    
 2.9111870      6.3099160    
 2.7614760      5.4679180    
 3.1189980      6.0638580    
 3.0446040      5.3224430    
 3.1478440      6.0543260    
 2.9300930      5.7712340    
 1.6930920      6.2897870    
 2.6182790      7.1933050    
 1.9342610      2.3336260    
 2.2031420      6.1762090    
 1.7457980      2.9226050    
 2.5865710      5.5017470    
 2.3483400      2.8297550    
 2.0031280      2.6863550    
 6.7779870      2.9279080    
 8.0116330      1.1457650    
 9.4471360      1.4882370    
 5.2757420      2.5273620    
 5.5914280      1.9302190    
 .55701150      1.8567900    
 2.1844650      2.9389600    
 2.0812040      6.4705770    
 .97752210      1.4685750    
 2.3479060      6.2507700    
 3.1344340      2.7874550    
 2.1624440      6.5310790    
 1.3434150      1.6394670    
 2.4671290      5.5116200    
 2.4021850      1.5129290    
 2.7270030      5.3513640    
 3.2443080      1.1997600    
 1.6674640      6.3133510    
 1.9561080      7.3485420    
 1.4725800      5.9697480    
 1.7113840      6.1413750    
 2.3527460      5.3052970    
 2.8386140      2.6790050    
 4.1784110      2.0932980    
 5.5544950      1.5605570    
 6.2872060      1.4441860    
 6.1427330      2.2690790    
 6.4270450      .55752220    
 5.0291680      3.0865440    
 2.2239340      1.4627900    
 1.0090360      1.1546170    
 1.7898870      5.4125330    
 1.5038430      6.3558530    
 1.1366800      5.9010500    
 1.7491930      6.2233320    
 1.7319610      5.7731220    
 1.8447260      6.4015490    
 2.8566240      5.2035740    
 2.7313170      1.3962620    
 4.3746500      .58077530    
 2.2349990      2.1782630    
 3.0187830      4.7103780    
 1.4129450      6.3918010    
 1.7641420      7.5405880    
 .53401940      1.5470850    
 2.1696140      5.9970140    
 3.3500170      2.7131860    
 3.5528490      3.0495880    
 7.5353780      1.4367700    
 14.119170      1.1430700    
 7.0336480      2.0830780    
 1.9381730      2.1144730    
 5.3019320      3.1416100    
 3.5478910      6.0191880    
 .53655510      2.2876380    
 1.0131930      5.6628870    
 1.6895610      2.2071540    
 1.0810230      6.4023690    
 .19146160      1.2027810    
 1.3286810      6.4495370    
 .23121880      1.5395660    
 2.2079030      6.2195210    
 4.6593800      2.0415750    
 6.0273840      .57070990    
 5.2787010      2.2647800    
 5.2893140      .58007710    
 2.7135510      3.7121070    
 1.0779860      6.2354660    
 1.9105440      7.5352050    
 2.0888930      5.5079640    
 2.7530340      6.2233100    
 3.5857390      3.4624150    
 6.3763700      1.4977100    
 8.8302970      .57030850    
 8.8950790      1.9275050    
 8.1943890      1.3965550    
 6.4203280      2.4755790    
 3.4393440      4.9511740    
 1.9503610      6.5009000    
 .82258030      5.6938820    
 .85467210      6.3373210    
 1.0684860      5.7149310    
 1.0088500      6.2645850    
 1.0669310      5.0678270    
 1.1825210      6.5589120    
 1.3459170      5.7557670    
 2.6366530      6.2841740    
 3.8214060      5.1148140    
 4.0995210      2.5173660    
 2.9816680      2.8679150    
 3.0791460      1.5006690    
 1.5003020      5.4409150    
 .87175070      6.3436680    
 2.2899740      7.4276070    
 3.7961080      .58642970    
 2.9126990      6.3811170    
 2.9770280      1.1619410    
 9.5189970      1.4582330    
 9.5148660      1.9748430    
 8.5250190      1.4080020    
 6.7209550      2.0178880    
 5.7130250      2.0544190    
 1.5475430      1.8465050    
 .76706960      6.6448880    
 .27766990      1.6484660    
 .64282490      6.4714790    
 .34039770      1.6435270    
 .94326810      6.2301820    
 1.6348240      2.3391840    
 1.0925920      6.6046510    
 1.8896870      2.0099170    
 2.6713540      6.2958230    
 3.0985210      1.4608960    
 2.5806420      5.6355690    
 1.5469060      2.9192690    
 1.6232680      5.7337570    
 .24416380      2.3388820    
 1.3543320      6.4896270    
 2.4795210      7.2343020    
 2.4835360      4.9410470    
 2.3451350      6.5105530    
 2.7704100      3.8266360    
 9.9210550      1.5171640    
 8.6458680      1.7526060    
 10.661280      2.6801400    
 4.4578520      1.6546440    
 2.0349940      1.6855620    
 1.0155260      4.9917770    
 .52507250      6.7400530    
 .40698610      5.9676590    
 .51554430      6.4034350    
 .51568110      5.7603060    
 .91904400      6.4460560    
 1.0457090      5.9591580    
 1.0999550      6.2783970    
 1.7922980      5.3000040    
 2.1806280      6.3201730    
 1.7405690      5.3832390    
 1.4758450      6.2884650    
 1.2420060      5.8938160    
 1.1195320      6.4866770    
 1.1415990      6.1338500    
 2.2843130      6.3868690    
 2.3693220      6.8486330    
 1.7675310      3.7414900    
 1.9355490      6.2517980    
 2.3130970      2.1144750    
 9.4116330      .57078180    
 9.2792870      2.3952010    
 14.655770      1.1315180    
 8.8074970      1.0766480    
 2.3075090      2.1397630    
 .17736170      2.9608090    
